date,description,category,type,amount
2026-04-30,ACH deposit - Contoso Project Milestone,revenue,income,12250.00
2026-04-15,Payroll run - Apr 1st half,payroll,expense,22450.00
2026-04-30,Payroll run - Apr 2nd half,payroll,expense,22450.00
2026-04-06,GitHub Team seats,software subscriptions,expense,235.00
2026-04-07,Slack Business+,software subscriptions,expense,187.50
2026-04-12,Adobe Creative Cloud,software subscriptions,expense,329.99
2026-04-20,AWS usage - April,software subscriptions,expense,4980.60
2026-04-22,Figma Organization,software subscriptions,expense,180.00
2026-04-09,Staples - paper and toner,office supplies,expense,128.45
2026-04-21,Uline - shipping boxes,office supplies,expense,255.70
2026-04-08,Google Ads - April,marketing,expense,2650.00
2026-04-15,LinkedIn Ads campaign,marketing,expense,1810.00
2026-05-08,Stripe payout - May batch 1,revenue,income,20540.75
2026-05-15,Stripe payout - May batch 2,revenue,income,19980.40
2026-05-17,ACH deposit - Northwind Retainer,revenue,income,9500.00
2026-05-22,Stripe payout - May batch 3,revenue,income,18760.55
2026-05-31,ACH deposit - Wingtip Milestone,revenue,income,15750.00
2026-05-15,Payroll run - May 1st half,payroll,expense,22450.00
2026-05-29,Payroll run - May 2nd half,payroll,expense,23100.00
2026-05-05,GitHub Team seats,software subscriptions,expense,235.00
2026-05-07,Slack Business+,software subscriptions,expense,198.00
2026-05-12,Adobe Creative Cloud,software subscriptions,expense,329.99
2026-05-20,AWS usage - May,software subscriptions,expense,1485.90
2026-05-22,Figma Organization,software subscriptions,expense,180.00
2026-05-10,Staples - paper and toner,office supplies,expense,139.60
2026-05-19,Uline - shipping boxes,office supplies,expense,271.25
2026-05-26,Amazon Business - monitor stand,office supplies,expense,148.90
2026-05-06,Google Ads - May,marketing,expense,2700.00
2026-05-14,LinkedIn Ads campaign,marketing,expense,1850.00
2026-05-23,Influencer partnership payout,marketing,expense,8500.00
2026-06-05,Stripe payout - June batch 1,revenue,income,21010.20
2026-06-12,Stripe payout - June batch 2,revenue,income,20330.85
2026-06-17,ACH deposit - Northwind Retainer,revenue,income,9500.00
2026-06-19,Stripe payout - June batch 3,revenue,income,19440.15
2026-06-30,ACH deposit - Contoso Project Milestone,revenue,income,12250.00
2026-06-15,Payroll run - Jun 1st half,payroll,expense,23100.00
2026-06-30,Payroll run - Jun 2nd half,payroll,expense,23100.00
2026-06-05,GitHub Team seats,software subscriptions,expense,235.00
2026-06-07,Slack Business+,software subscriptions,expense,198.00
2026-06-12,Adobe Creative Cloud,software subscriptions,expense,329.99
2026-06-20,AWS usage - June,software subscriptions,expense,1520.35
2026-06-22,Figma Organization,software subscriptions,expense,180.00
2026-06-11,Staples - paper and toner,office supplies,expense,144.05
2026-06-18,Uline - shipping boxes,office supplies,expense,262.40
2026-06-24,Amazon Business - whiteboard,office supplies,expense,89.99
2026-06-04,Google Ads - June,marketing,expense,2750.00
2026-06-16,LinkedIn Ads campaign,marketing,expense,1890.00
